ESTADO ;CIDADE;Letra;;
Acre;Acrelândia;A;;
Acre;Assis Brasil;A;;
Acre;Brasiléia;B;;
Acre;Bujarí;B;;
Acre;Capixaba;C;;
Acre;Cruzeiro do Sul;C;;
Acre;Epitaciolândia;E;;
Acre;Feijó;F;;
Acre;Jordão;J;;
Acre;Manoel urbano;M;;
Acre;Marechal Thaumaturgo;M;;
Acre;Mâncio Lima;M;;
Acre;Plácido de Castro;P;;
Acre;Porto Acre;P;;
Acre;Porto Walter;P;;
Acre;Rio Branco;R;;
Acre;Rodrigues Alves;R;;
Acre;Santa Rosa do Purus;S;;
Acre;Sena Madureira;S;;
Acre;Senador Guiomard;S;;
Acre;Tarauacá;T;;
Acre;Xapurí;X;;
Alagoas;Água Branca;A;;
Alagoas;Anadia;A;;
Alagoas;Arapiraca;A;;
Alagoas;Atalaia;A;;
Alagoas;Barra de Santo Antônio;B;;
Alagoas;Barra de São Miguel;B;;
Alagoas;Batalha;B;;
Alagoas;Belém;B;;
Alagoas;Belo Monte;B;;
Alagoas;Boca da Mata;B;;
Alagoas;Branquinha;B;;
Alagoas;Cacimbinhas;C;;
Alagoas;Cajueiro;C;;
Alagoas;Campestre;C;;
Alagoas;Campo Alegre;C;;
Alagoas;Campo Grande;C;;
Alagoas;Canapi;C;;
Alagoas;Capela;C;;
Alagoas;Carneiros;C;;
Alagoas;Chã Preta;C;;
Alagoas;Coité do Noia;C;;
Alagoas;Colônia Leopoldina;C;;
Alagoas;Coqueiro Seco;C;;
Alagoas;Coruripe;C;;
Alagoas;Craíbas;C;;
Alagoas;Delmiro Gouveia;D;;
Alagoas;Dois Riachos;D;;
Alagoas;Estrela de Alagoas;E;;
Alagoas;Feira Grande;F;;
Alagoas;Feliz Deserto;F;;
Alagoas;Flexeiras;F;;
Alagoas;Girau do Ponciano;G;;
Alagoas;Ibateguara;I;;
Alagoas;Igaci;I;;
Alagoas;Igreja Nova;I;;
Alagoas;Inhapi;I;;
Alagoas;Jacaré dos Homens;J;;
Alagoas;Jacuípe;J;;
Alagoas;Japaratinga;J;;
Alagoas;Jaramataia;J;;
Alagoas;Jequiá da Praia;J;;
Alagoas;Joaquim Gomes;J;;
Alagoas;Jundiá;J;;
Alagoas;Junqueiro;J;;
Alagoas;Lagoa da Canoa;L;;
Alagoas;Limoeiro de Anadia;L;;
Alagoas;Maceió;M;;
Alagoas;Major Izidoro;M;;
Alagoas;Mar Vermelho;M;;
Alagoas;Maragogi;M;;
Alagoas;Maravilha;M;;
Alagoas;Marechal Deodoro;M;;
Alagoas;Maribondo;M;;
Alagoas;Mata Grande;M;;
Alagoas;Matriz de Camaragibe;M;;
Alagoas;Messias;M;;
Alagoas;Minador do Negrão;M;;
Alagoas;Monteirópolis;M;;
Alagoas;Murici;M;;
Alagoas;Novo Lino;N;;
Alagoas;Olho d'Água das Flores;O;;
Alagoas;Olho d'Água do Casado;O;;
Alagoas;Olho d'Água Grande;O;;
Alagoas;Olivença;O;;
Alagoas;Ouro Branco;O;;
Alagoas;Palestina;P;;
Alagoas;Palmeira dos Índios;P;;
Alagoas;Pão de Açúcar;P;;
Alagoas;Pariconha;P;;
Alagoas;Paripueira;P;;
Alagoas;Passo de Camaragibe;P;;
Alagoas;Paulo Jacinto;P;;
Alagoas;Penedo;P;;
Alagoas;Piaçabuçu;P;;
Alagoas;Pilar;P;;
Alagoas;Pindoba;P;;
Alagoas;Piranhas;P;;
Alagoas;Poço das Trincheiras;P;;
Alagoas;Porto Calvo;P;;
Alagoas;Porto de Pedras;P;;
Alagoas;Porto Real do Colégio;P;;
Alagoas;Quebrangulo;Q;;
Alagoas;Rio Largo;R;;
Alagoas;Roteiro;R;;
Alagoas;Santa Luzia do Norte;S;;
Alagoas;Santana do Ipanema;S;;
Alagoas;Santana do Mundaú;S;;
Alagoas;São Brás;S;;
Alagoas;São José da Laje;S;;
Alagoas;São José da Tapera;S;;
Alagoas;São Luís do Quitunde;S;;
Alagoas;São Miguel dos Campos;S;;
Alagoas;São Miguel dos Milagres;S;;
Alagoas;São Sebastião;S;;
Alagoas;Satuba;S;;
Alagoas;Senador Rui Palmeira;S;;
Alagoas;Tanque d'Arca;T;;
Alagoas;Taquarana;T;;
